trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,15,-1.8517944990446087,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",30,0,-95.00598525908059,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 3}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-81.07400445002143,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-191.10054651461093,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 5}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,3,-14.236006970789413,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,11,-74.82493456777713,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",30,17,23.74620320963619,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,13,9.200099155959581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,10,-40.956018117940054,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,7,11.386108055046774,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,17,-26.798778211696128,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,14,7.306054987809379,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,11,-8.005682485148245,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,4,-9.403866203387631,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,12,-10.676151375817923,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,11,2.9080275268797475,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,19,11.803194879044845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,14,22.472025833758323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,13,5.674436653575597,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,19,21.940580331886988,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,18,7.899807549663763,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,13,19.577384857203967,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,9,6.755863322090001,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,22,-0.9385796280058794,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,18,-3.5590786369938803,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,8,18.939491851869164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,11,19.75607320942453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,10,3.679724750099524,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,2,-5.678011325766869,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,8,1.6536302915468104,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,12,29.687631058910405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,16.282158065847593,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,11,18.000695791161608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,4,22.983956609456005,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,15,-6.449628213357694,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,17,16.448832351423757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,7,20.32059856549088,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,12,23.46175094659553,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,11,25.34336954325741,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,11,-18.944755841990254,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,12,33.13534574896194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,10,20.974532098003003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",35,5,39.348901556573246,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,14,20.00341126790368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",30,18,25.646924119728336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,15,28.610469096714823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,9,-5.6367748940085,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,0,21.47624296841347,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,7,-2.5074136521073767,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",25,5,38.06919648996985,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",35,24,21.20555243583105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,6,20.57468288634482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,6,24.00340789227621,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': -0.009203543268808336}",20,14,13.172507364755312,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,9,28.52857111815163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,8.129886311918746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,10.627280563619301,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,12.648238511659818,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,25.71111025090849,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,21.0569984815397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,6.266781893496437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,24.21590830682128,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,25.048979386230215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,17,24.748173727152285,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,15,10.371118771406117,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,12,19.162152836755173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,13,10.486228187961858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",35,18,37.031545086502035,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,12.961994243656848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,13,19.244487044626744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,18,12.910749100577345,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,14,28.822285842690363,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,14,11.120223478337065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,13,12.409362751983934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,17,16.784894180990847,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,15,18.536098705174478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,0,39.14466296431311,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",25,17,10.446505217191946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,12,26.364191394499212,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,11,17.616289380034623,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,8,25.156449652705145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",35,18,27.721747646920473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,6,26.61553083557384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
